#options: 640x360 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=300 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:38.28 aq:31.38 tex:55740 mv:12638 misc:110 imb:920 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:38.28 aq:32.28 tex:274 mv:88 misc:294 imb:0 pmb:27 smb:893 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:38.28 aq:32.22 tex:9017 mv:833 misc:582 imb:26 pmb:128 smb:766 d:- ref:0 ;
in:6 out:3 type:P dur:2 cpbdur:2 q:38.28 aq:31.62 tex:27165 mv:4806 misc:661 imb:233 pmb:389 smb:298 d:- ref:0 ;
in:4 out:4 type:B dur:2 cpbdur:2 q:38.28 aq:34.66 tex:423 mv:177 misc:256 imb:1 pmb:29 smb:890 d:s ref:0 ;
in:3 out:5 type:b dur:2 cpbdur:2 q:38.28 aq:37.63 tex:55 mv:85 misc:180 imb:0 pmb:12 smb:908 d:s ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:38.28 aq:34.23 tex:32 mv:11 misc:141 imb:0 pmb:3 smb:917 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:38.28 aq:32.03 tex:21293 mv:4501 misc:670 imb:209 pmb:419 smb:292 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:38.28 aq:34.91 tex:402 mv:198 misc:304 imb:0 pmb:38 smb:882 d:s ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:38.28 aq:36.54 tex:99 mv:124 misc:241 imb:0 pmb:21 smb:899 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:38.28 aq:33.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:38.28 aq:32.40 tex:19678 mv:3919 misc:611 imb:157 pmb:399 smb:364 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:38.28 aq:36.33 tex:347 mv:186 misc:283 imb:1 pmb:29 smb:890 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:38.28 aq:36.48 tex:59 mv:35 misc:178 imb:0 pmb:8 smb:912 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:38.28 aq:36.02 tex:45 mv:9 misc:138 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:45.46 aq:38.75 tex:3656 mv:995 misc:605 imb:34 pmb:158 smb:728 d:s ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:41.87 aq:39.19 tex:176 mv:67 misc:237 imb:2 pmb:14 smb:904 d:s ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:40.07 aq:35.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:s ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:43.66 aq:38.00 tex:8 mv:19 misc:133 imb:1 pmb:0 smb:919 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:41.85 aq:36.09 tex:14146 mv:3152 misc:742 imb:165 pmb:305 smb:450 d:s ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:43.65 aq:40.35 tex:89 mv:44 misc:203 imb:1 pmb:10 smb:909 d:s ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:44.55 aq:40.00 tex:0 mv:2 misc:134 imb:0 pmb:1 smb:919 d:s ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:42.75 aq:38.00 tex:0 mv:3 misc:133 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:39.71 aq:33.66 tex:17110 mv:3268 misc:718 imb:142 pmb:379 smb:399 d:s ref:0 ;
in:24 out:24 type:B dur:2 cpbdur:2 q:40.78 aq:36.81 tex:288 mv:190 misc:290 imb:2 pmb:43 smb:875 d:s ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:41.32 aq:39.88 tex:54 mv:16 misc:162 imb:0 pmb:4 smb:916 d:s ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:40.25 aq:37.59 tex:159 mv:38 misc:211 imb:0 pmb:14 smb:906 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:37.42 aq:30.38 tex:29749 mv:4354 misc:657 imb:195 pmb:468 smb:257 d:s ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:38.57 aq:35.45 tex:859 mv:598 misc:359 imb:11 pmb:84 smb:825 d:s ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:39.14 aq:36.91 tex:551 mv:231 misc:306 imb:1 pmb:54 smb:865 d:s ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:37.99 aq:36.27 tex:461 mv:163 misc:240 imb:2 pmb:34 smb:884 d:- ref:0 ;
in:34 out:31 type:P dur:2 cpbdur:2 q:36.35 aq:28.77 tex:27610 mv:4654 misc:656 imb:189 pmb:495 smb:236 d:s ref:0 ;
in:32 out:32 type:B dur:2 cpbdur:2 q:36.88 aq:32.19 tex:563 mv:409 misc:388 imb:8 pmb:51 smb:861 d:s ref:0 ;
